"time
References : ['VIout','VQout']
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VIout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VQout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real"
6.885000000000000  sec,-0.001197969804941,0.001519745398140
6.900000000000000  sec,-0.001197969826110,0.001519745398183
6.915000000000000  sec,-0.001197969835424,0.001519745410974
6.930000000000000  sec,-0.001136400780046,0.001568339256017
6.944999999999999  sec,-0.001136400765531,0.001568339236372
6.960000000000000  sec,-0.001136400755438,0.001568339238717
6.975000000000000  sec,-0.001136400769729,0.001568339252681
6.989999999999999  sec,-0.001136400773008,0.001568339245593
7.005000000000000  sec,-0.001136400751321,0.001568339256620
7.020000000000000  sec,-0.001072242542283,0.001613955097479
7.035000000000000  sec,-0.001072242569392,0.001613955093203
7.050000000000000  sec,-0.001072242551108,0.001613955086663
7.065000000000000  sec,-0.001072242556172,0.001613955072067
7.080000000000000  sec,-0.001072242549444,0.001613955063781
7.095000000000000  sec,-0.001072242563274,0.001613955088539
7.109999999999999  sec,-0.001072242550617,0.001613955092389
7.125000000000000  sec,-0.001002623819758,0.001659596999510
7.140000000000000  sec,-0.001002623813086,0.001659596986917
7.154999999999999  sec,-0.001002623814240,0.001659596983077
7.170000000000000  sec,-0.001002623806183,0.001659596987132
